filename, language, TypeScript, CSS, TypeScript React, Markdown, XML, JavaScript, comment, blank, total
.VSCodeCounter\details.md, Markdown, 0, 0, 0, 52, 0, 0, 0, 6, 58
.VSCodeCounter\results.md, Markdown, 0, 0, 0, 24, 0, 0, 0, 7, 31
App.css, CSS, 0, 22, 0, 0, 0, 0, 0, 4, 26
App.test.tsx, TypeScript React, 0, 0, 8, 0, 0, 0, 0, 2, 10
App.tsx, TypeScript React, 0, 0, 164, 0, 0, 0, 2, 16, 182
bits\TrackballControls.d.ts, TypeScript, 37, 0, 0, 0, 0, 0, 2, 20, 59
bits\TrackballControls.js, JavaScript, 0, 0, 0, 0, 0, 443, 20, 291, 754
bits\billTable.tsx, TypeScript React, 0, 0, 365, 0, 0, 0, 0, 30, 395
bits\buttonComm.tsx, TypeScript React, 0, 0, 24, 0, 0, 0, 2, 4, 30
bits\buttonSignIn.tsx, TypeScript React, 0, 0, 23, 0, 0, 0, 2, 3, 28
bits\buttonSignUp.tsx, TypeScript React, 0, 0, 25, 0, 0, 0, 2, 3, 30
bits\buttonUpload.tsx, TypeScript React, 0, 0, 24, 0, 0, 0, 2, 4, 30
bits\centerPanel.css, CSS, 0, 22, 0, 0, 0, 0, 1, 0, 23
bits\centerPanel.tsx, TypeScript React, 0, 0, 17, 0, 0, 0, 0, 2, 19
bits\edit.tsx, TypeScript React, 0, 0, 40, 0, 0, 0, 2, 6, 48
bits\logBar.tsx, TypeScript React, 0, 0, 158, 0, 0, 0, 4, 7, 169
bits\miniSearch.tsx, TypeScript React, 0, 0, 109, 0, 0, 0, 3, 1, 113
bits\pretto-slider.tsx, TypeScript React, 0, 0, 32, 0, 0, 0, 0, 2, 34
bits\rate.tsx, TypeScript React, 0, 0, 47, 0, 0, 0, 0, 3, 50
bits\search.tsx, TypeScript React, 0, 0, 59, 0, 0, 0, 1, 2, 62
bits\store.tsx, TypeScript React, 0, 0, 46, 0, 0, 0, 0, 5, 51
bits\tab.tsx, TypeScript React, 0, 0, 85, 0, 0, 0, 0, 9, 94
bits\tailBar.tsx, TypeScript React, 0, 0, 43, 0, 0, 0, 2, 3, 48
bits\treeView.tsx, TypeScript React, 0, 0, 162, 0, 0, 0, 0, 8, 170
bits\userInfoList.tsx, TypeScript React, 0, 0, 91, 0, 0, 0, 0, 2, 93
canvas.ts, TypeScript, 84, 0, 0, 0, 0, 0, 3, 16, 103
cataPage\cataPage.css, CSS, 0, 34, 0, 0, 0, 0, 0, 0, 34
cataPage\cataPage.tsx, TypeScript React, 0, 0, 147, 0, 0, 0, 10, 4, 161
commPage\communityPage.tsx, TypeScript React, 0, 0, 387, 0, 0, 0, 1, 41, 429
detail-panel.css, CSS, 0, 15, 0, 0, 0, 0, 4, 1, 20
detail-panel.tsx, TypeScript React, 0, 0, 307, 0, 0, 0, 3, 9, 319
fonts\proxima-nova.css, CSS, 0, 42, 0, 0, 0, 0, 0, 2, 44
homePage\homePage.css, CSS, 0, 244, 0, 0, 0, 0, 25, 11, 280
homePage\homePage.tsx, TypeScript React, 0, 0, 314, 0, 0, 0, 24, 14, 352
index.css, CSS, 0, 12, 0, 0, 0, 0, 0, 2, 14
index.tsx, TypeScript React, 0, 0, 10, 0, 0, 0, 3, 3, 16
logo.svg, XML, 0, 0, 0, 0, 1, 0, 0, 0, 1
react-app-env.d.ts, TypeScript, 0, 0, 0, 0, 0, 0, 1, 1, 2
render-editor.tsx, TypeScript React, 0, 0, 592, 0, 0, 0, 23, 56, 671
render.tsx, TypeScript React, 0, 0, 809, 0, 0, 0, 49, 112, 970
serviceWorker.ts, TypeScript, 99, 0, 0, 0, 0, 0, 31, 14, 144
signup-or-in.tsx, TypeScript React, 0, 0, 270, 0, 0, 0, 0, 17, 287
upload-model.css, CSS, 0, 6, 0, 0, 0, 0, 0, 0, 6
upload-model.tsx, TypeScript React, 0, 0, 462, 0, 0, 0, 13, 37, 512
userPage\edit-profile.tsx, TypeScript React, 0, 0, 262, 0, 0, 0, 7, 19, 288
userPage\userPage.css, CSS, 0, 22, 0, 0, 0, 0, 1, 0, 23
userPage\userPage.tsx, TypeScript React, 0, 0, 174, 0, 0, 0, 4, 9, 187
utils\api.ts, TypeScript, 369, 0, 0, 0, 0, 0, 46, 69, 484
utils\mock.ts, TypeScript, 78, 0, 0, 0, 0, 0, 0, 5, 83
utils\utils.ts, TypeScript, 22, 0, 0, 0, 0, 0, 0, 3, 25
Total, -, 689, 419, 5256, 76, 1, 443, 293, 885, 8062
