filename, language, CSS, TypeScript React, TypeScript, XML, JavaScript, comment, blank, total
App.css, CSS, 21, 0, 0, 0, 0, 0, 4, 25
App.test.tsx, TypeScript React, 0, 8, 0, 0, 0, 0, 2, 10
App.tsx, TypeScript React, 0, 147, 0, 0, 0, 6, 14, 167
bits\TrackballControls.d.ts, TypeScript, 0, 0, 37, 0, 0, 2, 20, 59
bits\TrackballControls.js, JavaScript, 0, 0, 0, 0, 443, 20, 291, 754
bits\buttonSignIn.tsx, TypeScript React, 0, 23, 0, 0, 0, 2, 3, 28
bits\buttonSignUp.tsx, TypeScript React, 0, 25, 0, 0, 0, 2, 3, 30
bits\buttonUpload.tsx, TypeScript React, 0, 24, 0, 0, 0, 2, 4, 30
bits\centerPanel.css, CSS, 22, 0, 0, 0, 0, 1, 0, 23
bits\centerPanel.tsx, TypeScript React, 0, 17, 0, 0, 0, 0, 2, 19
bits\edit.tsx, TypeScript React, 0, 40, 0, 0, 0, 2, 6, 48
bits\logBar.tsx, TypeScript React, 0, 40, 0, 0, 0, 3, 2, 45
bits\miniSearch.tsx, TypeScript React, 0, 97, 0, 0, 0, 2, 2, 101
bits\pretto-slider.tsx, TypeScript React, 0, 32, 0, 0, 0, 0, 2, 34
bits\rate.tsx, TypeScript React, 0, 47, 0, 0, 0, 0, 3, 50
bits\search.tsx, TypeScript React, 0, 46, 0, 0, 0, 0, 3, 49
bits\store.tsx, TypeScript React, 0, 32, 0, 0, 0, 0, 5, 37
bits\tab.tsx, TypeScript React, 0, 85, 0, 0, 0, 0, 9, 94
bits\userInfoList.tsx, TypeScript React, 0, 74, 0, 0, 0, 0, 3, 77
canvas.ts, TypeScript, 0, 0, 75, 0, 0, 2, 15, 92
cataPage\cataPage.css, CSS, 31, 0, 0, 0, 0, 0, 0, 31
cataPage\cataPage.tsx, TypeScript React, 0, 125, 0, 0, 0, 0, 4, 129
detail-panel.css, CSS, 14, 0, 0, 0, 0, 4, 1, 19
detail-panel.tsx, TypeScript React, 0, 71, 0, 0, 0, 3, 9, 83
edit-profile.tsx, TypeScript React, 0, 233, 0, 0, 0, 6, 13, 252
fonts\proxima-nova.css, CSS, 42, 0, 0, 0, 0, 0, 2, 44
homePage\homePage.css, CSS, 220, 0, 0, 0, 0, 23, 12, 255
homePage\homePage.tsx, TypeScript React, 0, 303, 0, 0, 0, 8, 14, 325
index.css, CSS, 12, 0, 0, 0, 0, 0, 2, 14
index.tsx, TypeScript React, 0, 10, 0, 0, 0, 3, 3, 16
logo.svg, XML, 0, 0, 0, 1, 0, 0, 0, 1
react-app-env.d.ts, TypeScript, 0, 0, 0, 0, 0, 1, 1, 2
render-editor.tsx, TypeScript React, 0, 206, 0, 0, 0, 0, 21, 227
render.tsx, TypeScript React, 0, 526, 0, 0, 0, 29, 87, 642
serviceWorker.ts, TypeScript, 0, 0, 99, 0, 0, 31, 14, 144
signup-or-in.tsx, TypeScript React, 0, 278, 0, 0, 0, 12, 17, 307
upload-model.css, CSS, 6, 0, 0, 0, 0, 0, 0, 6
upload-model.tsx, TypeScript React, 0, 364, 0, 0, 0, 8, 35, 407
userPage\userPage.css, CSS, 11, 0, 0, 0, 0, 1, 0, 12
userPage\userPage.tsx, TypeScript React, 0, 124, 0, 0, 0, 0, 6, 130
utils\api.ts, TypeScript, 0, 0, 267, 0, 0, 22, 42, 331
utils\mock.ts, TypeScript, 0, 0, 28, 0, 0, 0, 3, 31
utils\utils.ts, TypeScript, 0, 0, 22, 0, 0, 0, 3, 25
Total, -, 379, 2977, 528, 1, 443, 195, 682, 5205
